"","Session","Date","Trades","Min. price","Max.price","Weighted avg. price","Weighted closing price","Volume in Securities","Volume in GEL"
"1","141",2001-08-02,1,1.3,1.3,1.3,NA,100,130
"2","158",2001-10-04,1,1.98,1.98,1.98,NA,492,974.16
"3","159",2001-10-09,4,1.05,1.2,1.09,NA,250,272.5
"4","160",2001-10-11,1,1,1,1,NA,150,150
"5","161",2001-10-16,1,0.91,0.91,0.91,NA,70,63.7
"6","162",2001-10-18,1,0.9,0.9,0.9,NA,22,19.8
"7","168",2001-11-08,1,1,1,1,NA,30,30
"8","223",2002-05-30,4,1.5,1.5,1.5,NA,25,37.5
"9","224",2002-06-04,5,1.5,1.5,1.5,NA,25,37.5
"10","225",2002-06-06,9,1.5,1.5,1.5,NA,20,30
"11","230",2002-06-25,15,1,1,1,NA,30,30
"12","233",2002-07-04,1,1,1,1,NA,20,20
"13","234",2002-07-09,1,1,1,1,NA,10,10
"14","245",2002-08-15,4,0.5,0.5,0.5,NA,40,20
"15","328",2003-06-10,1,0.7,0.7,0.7,NA,30,21
"16","367",2003-10-30,2,2,2,2,NA,538,1076
"17","419",2004-05-04,1,1,1,1,NA,300,300
"18","528",2005-06-14,1,2,2,2,NA,2000,4000
"19","532",2005-06-28,1,2.1,2.1,2.1,NA,1000,2100
"20","558",2005-09-27,7,2.05,2.05,2.05,NA,2000,4100
"21","584",2005-12-27,2,1.5,1.5,1.5,NA,2100,3150
"22","585",2005-12-29,8,1.77,2,1.8525,NA,1263,2339.7
"23","586",2006-01-05,1,1.5,1.5,1.5,NA,1000,1500
"24","587",2006-01-10,1,1.5,1.5,1.5,NA,800,1200
"25","589",2006-01-17,1,1.5,1.5,1.5,NA,437,655.5
"26","591",2006-01-26,2,1.5,1.5,1.5,NA,1400,2100
"27","592",2006-01-31,9,1.85,1.85,1.85,NA,3600,6660
"28","599",2006-02-23,12,1.95,1.95,1.95,NA,3000,5850
"29","607",2006-03-23,4,2,2,2,NA,500,1000
"30","608",2006-03-28,2,2.5,2.5,2.5,NA,692,1730
"31","620",2006-05-11,6,1.6,1.6,1.6,NA,450,720
"32","623",2006-05-23,6,1.6,1.6,1.6,NA,1800,2880
"33","625",2006-05-30,6,1.6,1.6,1.6,NA,900,1440
"34","626",2006-06-01,7,1.6,1.6,1.6,NA,750,1200
"35","628",2006-06-08,10,1.6,1.6,1.6,NA,1800,2880
"36","629",2006-06-13,5,1.6,1.6,1.6,NA,500,800
"37","682",2006-12-21,2,1,1.6,1.4931,1.6,842,1257.2
"38","683",2006-12-26,1,1.5,1.5,1.5,1.5,150,225
"39","684",2006-12-28,3,1.5,1.5,1.5,1.5,450,675
"40","687",2007-01-11,1,1.5,1.5,1.5,1.5,150,225
"41","688",2007-01-16,1,1.5,1.5,1.5,1.5,34,51
"42","693",2007-02-01,1,1.1,1.1,1.1,1.1,150,165
"43","697",2007-02-15,4,1.1,1.3,1.25,1.3,600,750
"44","700",2007-02-27,3,1.1,1.3,1.1752,1.3,266,312.6
"45","702",2007-03-06,1,1.1,1.1,1.1,1.1,150,165
"46","705",2007-03-20,4,1.15,1.5,1.3375,1.5,600,802.5
"47","707",2007-03-27,1,1.3,1.3,1.3,1.3,150,195
"48","713",2007-04-17,2,1.001,1.001,1.001,1.001,250,250.25
"49","717",2007-05-02,2,1.5,1.5,1.5,1.5,300,450
"50","718",2007-05-04,1,1.1,1.1,1.1,1.1,150,165
"51","719",2007-05-07,1,1.1,1.1,1.1,1.1,150,165
"52","720",2007-05-11,3,1.1,1.1,1.1,1.1,150,165
"53","722",2007-05-16,1,1.1,1.1,1.1,1.1,150,165
"54","723",2007-05-18,6,1.5,1.5,1.5,1.5,150,225
"55","724",2007-05-21,9,1.2,1.2,1.2,1.2,450,540
"56","725",2007-05-23,20,1.5,1.5,1.5,1.5,1050,1575
"57","726",2007-05-25,4,1.5,1.5,1.5,1.5,150,225
"58","731",2007-06-06,6,1.5,1.5,1.5,1.5,150,225
"59","734",2007-06-13,3,1.5,1.5,1.5,1.5,150,225
