"ID"	"Session"	"Date"	"Trades"	"Min. price"	"Max.price"	"Weighted avg. price"	"Weighted closing price"	"Volume in Securities"	"Volume in GEL"
"1"	"$GLC01H"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"AEST"	"141"	"2/08/01"	1	1.3	1.3	1.3	NA	100	130
"3"	"AEST"	"158"	"4/10/01"	1	1.98	1.98	1.98	NA	492	974.16
"4"	"AEST"	"159"	"9/10/01"	4	1.05	1.2	1.09	NA	250	272.5
"5"	"AEST"	"160"	"11/10/01"	1	1	1	1	NA	150	150
"6"	"AEST"	"161"	"16/10/01"	1	0.91	0.91	0.91	NA	70	63.7
"7"	"AEST"	"162"	"18/10/01"	1	0.9	0.9	0.9	NA	22	19.8
"8"	"AEST"	"168"	"8/11/01"	1	1	1	1	NA	30	30
"9"	"AEST"	"223"	"30/05/02"	4	1.5	1.5	1.5	NA	25	37.5
"10"	"AEST"	"224"	"4/06/02"	5	1.5	1.5	1.5	NA	25	37.5
"11"	"AEST"	"225"	"6/06/02"	9	1.5	1.5	1.5	NA	20	30
"12"	"AEST"	"230"	"25/06/02"	15	1	1	1	NA	30	30
"13"	"AEST"	"233"	"4/07/02"	1	1	1	1	NA	20	20
"14"	"AEST"	"234"	"9/07/02"	1	1	1	1	NA	10	10
"15"	"AEST"	"245"	"15/08/02"	4	0.5	0.5	0.5	NA	40	20
"16"	"AEST"	"328"	"10/06/03"	1	0.7	0.7	0.7	NA	30	21
"17"	"AEST"	"367"	"30/10/03"	2	2	2	2	NA	538	1076
"18"	"AEST"	"419"	"4/05/04"	1	1	1	1	NA	300	300
"19"	"AEST"	"528"	"14/06/05"	1	2	2	2	NA	2000	4000
"20"	"AEST"	"532"	"28/06/05"	1	2.1	2.1	2.1	NA	1000	2100
"21"	"AEST"	"558"	"27/09/05"	7	2.05	2.05	2.05	NA	2000	4100
"22"	"AEST"	"584"	"27/12/05"	2	1.5	1.5	1.5	NA	2100	3150
"23"	"AEST"	"585"	"29/12/05"	8	1.77	2	1.8525	NA	1263	2339.7
"24"	"AEST"	"586"	"5/01/06"	1	1.5	1.5	1.5	NA	1000	1500
"25"	"AEST"	"587"	"10/01/06"	1	1.5	1.5	1.5	NA	800	1200
"26"	"AEST"	"589"	"17/01/06"	1	1.5	1.5	1.5	NA	437	655.5
"27"	"AEST"	"591"	"26/01/06"	2	1.5	1.5	1.5	NA	1400	2100
"28"	"AEST"	"592"	"31/01/06"	9	1.85	1.85	1.85	NA	3600	6660
"29"	"AEST"	"599"	"23/02/06"	12	1.95	1.95	1.95	NA	3000	5850
"30"	"AEST"	"607"	"23/03/06"	4	2	2	2	NA	500	1000
"31"	"AEST"	"608"	"28/03/06"	2	2.5	2.5	2.5	NA	692	1730
"32"	"AEST"	"620"	"11/05/06"	6	1.6	1.6	1.6	NA	450	720
"33"	"AEST"	"623"	"23/05/06"	6	1.6	1.6	1.6	NA	1800	2880
"34"	"AEST"	"625"	"30/05/06"	6	1.6	1.6	1.6	NA	900	1440
"35"	"AEST"	"626"	"1/06/06"	7	1.6	1.6	1.6	NA	750	1200
"36"	"AEST"	"628"	"8/06/06"	10	1.6	1.6	1.6	NA	1800	2880
"37"	"AEST"	"629"	"13/06/06"	5	1.6	1.6	1.6	NA	500	800
"38"	"AEST"	"682"	"21/12/06"	2	1	1.6	1.4931	1.6	842	1257.2
"39"	"AEST"	"683"	"26/12/06"	1	1.5	1.5	1.5	1.5	150	225
"40"	"AEST"	"684"	"28/12/06"	3	1.5	1.5	1.5	1.5	450	675
"41"	"AEST"	"687"	"11/01/07"	1	1.5	1.5	1.5	1.5	150	225
"42"	"AEST"	"688"	"16/01/07"	1	1.5	1.5	1.5	1.5	34	51
"43"	"AEST"	"693"	"1/02/07"	1	1.1	1.1	1.1	1.1	150	165
"44"	"AEST"	"697"	"15/02/07"	4	1.1	1.3	1.25	1.3	600	750
"45"	"AEST"	"700"	"27/02/07"	3	1.1	1.3	1.1752	1.3	266	312.6
"46"	"AEST"	"702"	"6/03/07"	1	1.1	1.1	1.1	1.1	150	165
"47"	"AEST"	"705"	"20/03/07"	4	1.15	1.5	1.3375	1.5	600	802.5
"48"	"AEST"	"707"	"27/03/07"	1	1.3	1.3	1.3	1.3	150	195
"49"	"AEST"	"713"	"17/04/07"	2	1.001	1.001	1.001	1.001	250	250.25
"50"	"AEST"	"717"	"2/05/07"	2	1.5	1.5	1.5	1.5	300	450
"51"	"AEST"	"718"	"4/05/07"	1	1.1	1.1	1.1	1.1	150	165
"52"	"AEST"	"719"	"7/05/07"	1	1.1	1.1	1.1	1.1	150	165
"53"	"AEST"	"720"	"11/05/07"	3	1.1	1.1	1.1	1.1	150	165
"54"	"AEST"	"722"	"16/05/07"	1	1.1	1.1	1.1	1.1	150	165
"55"	"AEST"	"723"	"18/05/07"	6	1.5	1.5	1.5	1.5	150	225
"56"	"AEST"	"724"	"21/05/07"	9	1.2	1.2	1.2	1.2	450	540
"57"	"AEST"	"725"	"23/05/07"	20	1.5	1.5	1.5	1.5	1050	1575
"58"	"AEST"	"726"	"25/05/07"	4	1.5	1.5	1.5	1.5	150	225
"59"	"AEST"	"731"	"6/06/07"	6	1.5	1.5	1.5	1.5	150	225
"60"	"AEST"	"734"	"13/06/07"	3	1.5	1.5	1.5	1.5	150	225
"61"	"AEST"	"737"	"20/06/07"	6	1.501	1.501	1.501	1.501	300	450.3
"62"	"AEST"	"738"	"22/06/07"	6	1.501	1.501	1.501	1.501	300	450.3
"63"	"AEST"	"740"	"27/06/07"	2	1.5	1.52	1.51	1.5	300	453
"64"	"AEST"	"743"	"4/07/07"	12	1.532	1.6	1.549	1.6	600	929.4
"65"	"AEST"	"744"	"6/07/07"	1	1.6	1.6	1.6	1.6	150	240
"66"	"AEST"	"745"	"9/07/07"	1	1.6	1.6	1.6	1.6	150	240
"67"	"AEST"	"746"	"11/07/07"	1	1.6	1.6	1.6	1.6	150	240
"68"	"AEST"	"747"	"13/07/07"	12	1.65	1.69	1.6781	1.69	600	1006.85
"69"	"AEST"	"750"	"20/07/07"	5	1.5	1.8	1.7	1.8	450	765
"70"	"AEST"	"751"	"23/07/07"	1	1.75	1.75	1.75	1.75	150	262.5
"71"	"AEST"	"752"	"25/07/07"	3	1.75	1.75	1.75	1.75	150	262.5
"72"	"AEST"	"765"	"24/08/07"	3	1.649	1.649	1.649	1.649	150	247.35
"73"	"AEST"	"767"	"29/08/07"	3	1.6	1.6	1.6	1.6	150	240
"74"	"AEST"	"770"	"5/09/07"	18	1.5	1.5	1.5	1.5	900	1350
"75"	"AEST"	"771"	"7/09/07"	8	1.5	1.5	1.5	1.5	450	675
"76"	"AEST"	"774"	"14/09/07"	9	1.5	1.5	1.5	1.5	450	675
"77"	"AEST"	"776"	"19/09/07"	8	1.5	1.5	1.5	1.5	600	900
"78"	"AEST"	"777"	"21/09/07"	7	1.5	1.59	1.5467	1.59	450	696
"79"	"AEST"	"779"	"26/09/07"	4	1.55	1.55	1.55	1.55	600	930
"80"	"AEST"	"780"	"28/09/07"	2	1.55	1.55	1.55	1.55	300	465
"81"	"AEST"	"783"	"5/10/07"	1	1.55	1.55	1.55	1.55	150	232.5
"82"	"AEST"	"787"	"15/10/07"	1	1.5	1.5	1.5	1.5	150	225
"83"	"AEST"	"788"	"17/10/07"	3	1.5	1.5	1.5	1.5	450	675
"84"	"AEST"	"789"	"19/10/07"	2	1.55	1.55	1.55	1.55	450	697.5
"85"	"AEST"	"794"	"31/10/07"	1	1.5	1.5	1.5	1.5	150	225
"86"	"AEST"	"795"	"2/11/07"	1	1.501	1.501	1.501	1.501	150	225.15
"87"	"AEST"	"800"	"14/11/07"	1	1.5	1.5	1.5	1.5	150	225
"88"	"AEST"	"803"	"21/11/07"	1	1.5	1.5	1.5	1.5	150	225
"89"	"AEST"	"804"	"26/11/07"	5	1.5	1.5	1.5	1.5	450	675
"90"	"AEST"	"806"	"30/11/07"	5	1.4	1.5	1.44	1.4	750	1080
"91"	"AEST"	"817"	"26/12/07"	1	1.21	1.21	1.21	1.21	150	181.5
"92"	"AEST"	"818"	"28/12/07"	1	1.2	1.2	1.2	1.2	150	180
"93"	"AEST"	"836"	"15/02/08"	2	1.15	1.15	1.15	1.15	300	345
"94"	"AEST"	"838"	"20/02/08"	1	1	1	1	1	150	150
"95"	"AEST"	"841"	"27/02/08"	1	1.01	1.01	1.01	1.01	150	151.5
"96"	"AEST"	"844"	"7/03/08"	1	1.01	1.01	1.01	1.01	150	151.5
